"Title";"Artist";"Cover";"Year";"Genre";"Rank"
"Dirty Mind";"Prince";"DirtyMindCover.jpg";"1980";"Pop";"326"
"Live at Leeds";"Who";"LiveatLeedsCover.jpg";"1970";"Pop";"327"
"Modern Vampires of the City";"Vampire Weekend";"ModernVampiresoftheCityCover.png";"2013";"Pop";"328"
"Endtroducing...";"DJ Shadow";"EndtroducingCover.jpg";"1996";"Pop";"329"
"African Giant";"Burna Boy";"AfricanGiantCover.png";"2019";"Pop";"330"
" ";" ";"X.png";"1981";"Pop";"331"
" ";" ";"X.png";"1981";"Pop";"332"
" ";" ";"X.png";"1981";"Pop";"333"
" ";" ";"X.png";"1981";"Pop";"334"
" ";" ";"X.png";"1981";"Pop";"335"
" ";" ";"X.png";"1981";"Pop";"336"
