"Title";"Artist";"Cover";"Year";"Genre";"Rank"
"SOS";"SZA";"SOSCover.png";"2022";"r-b";"351"
"The Slim Shady LP";"Eminem";"TheSlimShadyCover.jpg";"1999";"hip-hop";"352"
"The Cars";"Cars";"TheCarsCover.png";"1978";"rock";"353"
"Germfree Adolescents";"X-Ray Spex";"GermfreeAdolescentsCover.jpg";"1978";"punk";"354"
"Black Sabbath";"Black Sabbath";"BlackSabbathCover.jpg";"1970";"metal";"355"
"Gris-Gris";"Dr. John";"GrisGrisCover.jpg";"1968";"new orleans";"356"
"Rain Dogs";"Tom Waits";"RainDogsCover.png";"1985";"experimental";"357"
"Sour";"Olivia Rodrigo";"SOURCover.png";"2021";"pop";"358"
"Radio City";"Big Star";"RadioCityCover.jpg";"1974";"rock";"359"
"One Nation Under a Groove";"Funkadelic";"OneNationUnderaGrooveCover.jpg";"1978";"funk";"360"
"The Black Parade";"My Chemical Romance";"BlackParadeCover.jpg";"2006";"emo";"361"
"Never Too Much";"Luther Vandross";"NeverToMuchCover.jpg";"1981";"r-b";"362"
"Mothership Connection";"Parliament";"MothershipConnectionCover.jpg";"1975";"funk";"363"
"More Songs About Buildings and Food";"Talking Heads";"MoreSongsAboutBuildingsandFoodCover.jpg";"1978";"alternative";"364"
"Madvillainy";"Madvillain";"MadvillainyCover.png";"2004";"hip-hop";"365"
"Rocks";"Aerosmith";"RocksAeroCover.jpg";"1976";"rock";"366"
"If You're Reading This It's Too Late";"Drake";"IfYoureReadingThisItsTooLateCover.png";"2015 ";"r-b";"367"
"All Things Must Pass";"George Harrison";"AllThingsMustPassCover.jpg";"1970";"rock";"368"
"The Infamous";"Mobb Deep";"TheInfamousMobbCover.jpg";"1995";"hip-hop";"369"
"Tha Carter II";"Lil Wayne";"ThaCarter2Cover.jpg";"2005";"hip-hop";"370"
"Anthology";"Temptations";"AnthologyTemptationsCover.jpg";"1973";"soul";"371"
"Cheap Thrills";"Big Brother and the Holding Company";"CheapThrillsCover.jpg";"1968";"alternative";"372"
"Hot Buttered Soul";"Isaac Hayes";"HotButteredSoulCover.jpg";"1969";"soul";"373"
"King of the Delta Blues Singers";"Delta blues";"KingoftheDeltaBluesSingersCover.jpg";"2020";"blues";"374"
"Dookie";"Green Day";"DookieCover.jpg";"1994";"punk";"375"
