"Title";"Artist";"Cover";"Year";"Genre";"Rank";"Type"
"Dirty Mind";"Prince";"DirtyMindCover.jpg";"1980";"funk";"326";"a"
"Live at Leeds";"Who";"LiveatLeedsCover.jpg";"1970";"rock";"327";"a"
"Modern Vamp. of the City";"Vamp. Weekend";"ModernVampiresoftheCityCover.png";"2013";"indie";"328";"a"
"Endtroducing...";"DJ Shadow";"EndtroducingCover.jpg";"1996";"hip-hop";"329";"a"
"African Giant";"Burna Boy";"AfricanGiantCover.png";"2019";"afrobeat";"330";"a"
"Like a Prayer";"Madonna";"LikeaPrayerCover.png";"1989";"pop";"331";"a"
"Elvis Presley";"Elvis Presley";"ElvisPresleyCover.jpg";"1956";"rock";"332";"a"
"Still Bill";"Bill Withers";"StillBillCover.jpg";"1972";"soul";"333";"a"
"Abraxas";"Santana";"AbraxasCover.jpg";"1970";"rock";"334";"a"
"The Basement Tapes";"Band";"TheBasementTapesCover.jpg";"1975";"folk";"335";"a"
"Avalon";"Roxy Music";"AvalonCover.jpg";"1982";"pop";"336";"a"
"John Wesley Harding";"Bob Dylan";"JohnWesleyHardingCover.jpg";"1967";"folk";"337";"a"
"Another Green World";"Brian Eno";"AnotherGreenWorldCover.jpg";"1975";"ambient";"338";"a"
"Rhythm Nation 1814";"Janet Jackson";"JanetJacksonRhythmNation1814Cover.png";"1989";"r-b";"339";"a"
"Doggystyle";"Snoop Dogg";"DoggystyleCover.jpg";"1993";"hip-hop";"340";"a"
"Siamese Dream";"Smash. Pumpkins";"SiameseDreamCover.jpg";"1993";"rock";"341";"a"
"Let It Be";"Beatles";"LetItBeCover.jpg";"1970";"rock";"342";"a"
"Greatest Hits";"Sly and the Family Stone";"Slyfamghits1970Cover.jpg";"1970";"funk";"343";"a"
"Funky Kingston";"Toots and the Maytals";"FunkyKingstonCover.jpg";"1973";"reggae";"344";"a"
"The Wild, the Innocent";"Bruce Springsteen";"TheWildTheInnocentCover.jpg";"1973";"rock";"345";"a"
"AM";"Arctic Monkeys";"AMCover.jpg";"2013";"rock";"346";"a"
"Liquid Swords";"Wu-Tang Clan";"Liquidswords1995Cover.png";"1995";"hip-hop";"347";"a"
"Time";"Gillian Welch";"TimeTheRevelatorCover.jpg";"2001";"country";"348";"a"
"Kick Out the Jams";"MC5";"KickOuttheJamsCover.jpg";"1969";"rock";"349";"a"
"Music of My Mind";"Stevie Wonder";"MusicofMyMindCover.png";"1972";"soul";"350";"a"
