"Title";"Artist";"Cover";"Year";"Genre";"Rank"
"New York Dolls";"New York Dolls";"NewYorkDollsCover.jpg";"1973";"rock";"301"
"Tonight's the Night";"Neil Young";"TonightstheNightCover.jpg";"1973";"folk";"302"
"The Definitive Collection";"ABBA";"TheEssentialCollectionABBACover.jpg";"2001";"disco";"303"
"Just as I Am";"Bill Withers";"JustasIamCover.jpg";"1971";"soul";"304"
"Alive!";"Kiss";"AliveCover.jpg";"1975";"rock";"305"
"I'm Still in Love with You";"Al Green";"StillinlovewithyouCover.jpg";"1972";"soul";"306"
"Portrait of a Legend: 1951-1964";"Sam Cooke";"TheBestofSamCookeCover.jpg";"1950";"soul";"307"
"Here Come the Warm Jets";"Brian Eno";"WarmjetsCover.jpg";"1974";"avant pop";"308"
"Closer";"Joy Division";"CloserCover.jpg";"1980";"alternative";"309"
"Pink Flag";"Wire";"PinkflagCover.jpg";"1977";"post punk";"310"
"On the Beach";"Neil Young";"OntheBeachCover.png";"1974";"folk";"311"
"A Seat at the Table";"Solange Knowles";"ASeatattheTableCover.png";"2016";"r-b";"312"
"Stories from the City, Stories from the Sea";"PJ Harvey";"StoriesFromTheSeaCover.jpg";"2000";"alternative";"313"
"One in a Million";"Aaliyah";"OneinaMillionCover.png";"1996";"r-b";"314"
"El mal querer";"Rosalia";"ElMalQuererCover.png";"2018";"latin";"315"
"The Who Sell Out";"Who";"TheWhoSelloutCover.jpg";"1967";"rock";"316"
"Lady in Satin";"Billie Holiday";"LadyinSatinCover.jpg";"1958";"jazz";"317"
"The Velvet Rope";"Janet Jackson";"TheVelvetRopeCover.png";"1997";"r-b";"318"
"The Stone Roses";"Stone Roses";"TheStoneRosesCover.jpg";"1989";"rock";"319"
"Los Angeles";"X";"LosAngelesXCover.jpg";"1980";"punk";"320"
"Norman Fucking Rockwell!";"Lana Del Rey";"NormanFuckingRockwellCover.png";"2019";"pop";"321"
"From Elvis in Memphis";"Elvis Presley";"FromElvisinMemphisCover.jpg";"1969";"rock";"322"
"Sandinista!";"Clash";"SandinistaCover.jpg";"1980 ";"punk";"323"
"A Rush of Blood to the Head";"Coldplay";"ARushofBloodtotheHeadCover.png";"2002";"pop";"324"
"All Killer, No Filler!";"Jerry Lee Lewis";"AllKillerNoFillerCover.jpg";"1993";"rock";"325"
