"Title";"Artist";"Cover";"Year";"Genre";"Rank"
"Faith";"George Michael";"FaithCover.png";"1987";"pop";"151"
"Pretenders";"The Pretenders";"PretendersCover.jpg";"1980";"new wave";"152"
"Rid of Me";"PJ Harvey";"RidofMeCover.jpg";"1993";"alternative";"153"
"Amazing Grace";"Aretha Franklin";"AmazingGraceCover.jpg";"1972";"gospel";"154"
"The Black Album";"Jay-Z";"TheBlackAlbumCover.png";"2003";"hip-hop";"155"
"Let It Be";"Replacements";"LetItBeReplCover.jpg";"1984";"alternative";"156"
"(What's the Story) Morning Glory?";"Oasis";"MorningGloryCover.jpg";"1995";"alternative";"157"
"Mama's Gun";"Erykah Badu";"Mama'sGunCover.jpg";"2000";"r-b";"158"
"Synchronicity";"Police";"SynchronicityCover.jpg";"1983";"new wave";"159"
"Ten";"Pearl Jam";"TenCover.jpg";"1991";"grunge";"160"
"Crosby,Stills&Nash";"Crosby,Stills&Nash";"CrosbyStillsandNashCover.jpg";"1969";"rock";"161"
"Different Class";"Pulp";"DifferentClassCover.png";"1995";"rock";"162"
"Saturday Night Fever";"John Travolta";"SaturdayNightFeverCover.jpg";"1977";"disco";"163"
"At Folsom Prison";"Johnny Cash";"AtFolsomPrisonCover.jpg";"1968";"country";"164"
"Murmur";"R.E.M.";"MurmurCover.jpg";"1983";"alternative";"165"
"20 Golden Greats";"Buddy Holly";"20GoldenGreatsCover.jpg";"1978";"blues";"166"
"Violator";"Depeche Mode";"ViolatorCover.png";"1990";"alternative";"167"
"Can't Buy a Thrill";"Steely Dan";"CantBuyaThrillCover.jpg";"1972";"fusion";"168"
"The Stranger";"Billy Joel";"TheStranger1977Cover.jpg";"1977";"pop";"169"
"Folklore";"Taylor Swift";"FolkloreCover.png";"2020";"Pop";"170"
"Daydream Nation";"Sonic Youth";"DaydreamnationCover.png";"1988";"alternative";"171"
"Bridge over Troubled Water";"Simon & Garfunkel";"BridgeoverTroubledWaterCover.png";"1970";"folk";"172"
"In Utero";"Nirvana";"InUteroCover.jpg";"1993";"grunge";"173"
"The Harder They Come";"Soundtrack";"TheHarderTheyComeCover.jpg";"1972";"reggae";"174"
"Damn";"Kendrick Lamar";"DamnCover.png";"2017";"hip-hop";"175"
